iso3,country,pillar,cluster,action_area,indicator_id,indicator_name,indicator_type,variable_name,question_type,question_text,hierarchy_level,data_type,response,response_value,normalized_response_value,weight,score,parent,question_order,wib,wiaa,wic,regional_hub,un_region,barometer_region
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a.SUM_EXISTENCE,sub-question,Existence Question 4 Please summarize your answers to the preceding existence subquestions including the extent of existence,4,summary,"The data protection framework in Togo is established by Law No. 2019-014 (1), which has the force of law and provides national coverage. It applies broadly across all sectors, including the public sector, private sector, NGOs, education, healthcare, technology and telecommunications, and research institutions. This comprehensive framework ensures robust protection of personal data, safeguarding individual rights and outlining the responsibilities of data controllers. Overall, Togo's data protection framework is legally enforceable, widespread in application, and covers a diverse range of sectors, effectively addressing the need for personal data privacy and security.",,,,,G.GOVERNANCE.DPL.a,50956.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a.SUM_EXISTENCE.1,supporting question,Please provide the URLs for the evidence that supports the summary provided,4,summary,https://jo.gouv.tg/sites/default/files/JO/JOS_29_10_2019-64E%20ANNEE-N%C2%B026%20TER.pdf (1),,,,,G.GOVERNANCE.DPL.a.SUM_EXISTENCE,50956.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e,section,Elements,2,computed,,,,100.0,64.0,G.GOVERNANCE.DPL,50957.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1,sub-group,Rights and responsibilities:,3,computed,,,,80.0,64.0,G.GOVERNANCE.DPL.e,50958,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.ACCESS_CORRECTION,sub-question,Elements Question 1 The framework provides data subjects with rights to access and correct data about themselves,4,response,Yes,2.0,1.0,16.0,16.0,G.GOVERNANCE.DPL.e.e1,50959.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.ACCESS_CORRECTION.2,supporting question,Please indicate which section of the framework refers to this issue,4,supporting,"Yes. The framework established by Law No. 2019-014 in Togo provides data subjects with rights to access and correct data about themselves. The relevant articles include Article 39, which grants individuals the right to request information about whether their personal data is being processed and to access that data, and Article 46, which allows individuals to request corrections, updates, or deletions of inaccurate or incomplete personal data. These provisions ensure that individuals have control over their personal data and can ensure its accuracy.",,,,,G.GOVERNANCE.DPL.e.e1.ACCESS_CORRECTION,50959.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.REDRESS,sub-question,Elements Question 2 The framework provides rights of redress,4,response,Yes,2.0,1.0,16.0,16.0,G.GOVERNANCE.DPL.e.e1,50960.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.REDRESS.2,supporting question,Please indicate which section of the framework refers to this issue,4,supporting,"The framework established by Law No. 2019-014 in Togo provides rights of redress for individuals and communities against public and private bodies that fail to respect data protection rules. Remedies can be pursued through self-regulation, private law actions, and government enforcement. Articles relevant to these rights include Article 56, which outlines the responsibilities of the independent oversight authority, and Article 71, which details the powers of the authority to impose sanctions for non-compliance. Article 55 also illustrates that the agency enabling oversight is independent.",,,,,G.GOVERNANCE.DPL.e.e1.REDRESS,50960.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.CONSENT,sub-question,Elements Question 3 The framework provides data subjects with rights of choice or consent,4,response,Yes,2.0,1.0,16.0,16.0,G.GOVERNANCE.DPL.e.e1,50961.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.CONSENT.2,supporting question,Please indicate which section of the framework refers to this issue,4,supporting,"The framework established by Law No. 2019-014 in Togo addresses the rights of choice or consent in Article 14, which emphasizes that the processing of personal data is considered legitimate only if the data subject has given their consent. Additionally, Article 15 outlines the necessity of obtaining consent in a clear and informed manner, ensuring individuals understand how their information will be used.",,,,,G.GOVERNANCE.DPL.e.e1.CONSENT,50961.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.DATA_HOLDER_RESPONSIBILITY,sub-question,Elements Question 4 The framework sets out clear responsibilities for data holders,4,response,Yes,2.0,1.0,16.0,16.0,G.GOVERNANCE.DPL.e.e1,50962.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.DATA_HOLDER_RESPONSIBILITY.2,supporting question,Please indicate which section of the framework refers to this issue,4,supporting,"The responsibilities of data holders in the framework established by Law No. 2019-014 in Togo are outlined in several sections. Article 14 discusses the principle of consent, emphasizing the obligation to ensure the accuracy and updating of personal data. Article 15 mandates that access to personal data be limited according to its intended use. Article 28 addresses the transfer of personal data to third parties, requiring assurances that those parties will also respect data protection rights. Finally, Article 53 stipulates the destruction or anonymization of personal data once it is no longer needed for its original intended purpose.",,,,,G.GOVERNANCE.DPL.e.e1.DATA_HOLDER_RESPONSIBILITY,50962.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.BREACH,sub-question,Elements Question 5 The framework requires data controllers to notify an appropriate authority of data breaches,4,response,No,0.0,0.0,16.0,0.0,G.GOVERNANCE.DPL.e.e1,50963.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e2,sub-group,Specific considerations:,3,computed,,,,20.0,0.0,G.GOVERNANCE.DPL.e,50964,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e2.GROUPPRIVACY,sub-question,Elements Question 6 The framework explicitly addresses privacy and data protection for groups,4,response,No,0.0,0.0,6.66,0.0,G.GOVERNANCE.DPL.e.e2,50965.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e2.LOCATION,sub-question,Elements Question 7 The framework explicitly covers the protection of locationrelated data,4,response,No,0.0,0.0,6.67,0.0,G.GOVERNANCE.DPL.e.e2,50966.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e2.AI,sub-question,Elements Question 8 The framework addresses algorithmic decisionmaking,4,response,No,0.0,0.0,6.67,0.0,G.GOVERNANCE.DPL.e.e2,50967.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.eb,sub-group,Negative scoring:,3,computed,,,,-10.0,-0.0,G.GOVERNANCE.DPL.e,50968,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.eb.DPLEXCEPTIONS,sub-question,Elements Question 9 The framework excludes certain populations from data protection,4,response,No,0.0,0.0,-10.0,-0.0,G.GOVERNANCE.DPL.e.eb,50969.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e,sub-group,Elements summary:,3,summary,,,,,,G.GOVERNANCE.DPL.e,50970,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.SUM_ELEMENTS,sub-question,Elements Question 10 Please summarize your answers to the preceding element subquestions,4,summary,"The framework established by Law No. 2019-014 (1) in Togo provides a comprehensive structure for data protection, granting data subjects rights to access and correct their data, as well as rights of redress and consent. While the law aims to protect all individuals, practical limitations may weaken protections for specific groups, such as immigrants and incarcerated individuals. The framework  lacks specific provisions for algorithmic decision-making.",,,,,G.GOVERNANCE.DPL.e,50971.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.SUM_ELEMENTS.1,supporting question,Please provide the URLs for the evidence that supports the summary provided,4,summary,https://jo.gouv.tg/sites/default/files/JO/JOS_29_10_2019-64E%20ANNEE-N%C2%B026%20TER.pdf (1),,,,,G.GOVERNANCE.DPL.e.SUM_ELEMENTS,50971.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Management,G.GOVERNANCE.DATAMANAGE,Governance (G): Data management,Primary,G.GOVERNANCE.DATAMANAGE,main question,"To what extent do relevant laws, regulations, policies, and guidance provide a comprehensive framework for consistent data management and publication?",1,computed,,,,,0.0,G.GOVERNANCE.DATAMANAGE,50972.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Management,G.GOVERNANCE.DATAMANAGE,Governance (G): Data management,Primary,G.GOVERNANCE.DATAMANAGE.a,section,Existence,2,computed,,,,1.0,0.0,G.GOVERNANCE.DATAMANAGE,50973.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Management,G.GOVERNANCE.DATAMANAGE,Governance (G): Data management,Primary,G.GOVERNANCE.DATAMANAGE.a,sub-group,Exist of existence:,3,computed,,,,1,0.0,G.GOVERNANCE.DATAMANAGE.a,50974,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Management,G.GOVERNANCE.DATAMANAGE,Governance (G): Data management,Primary,G.GOVERNANCE.DATAMANAGE.a.EXISTS,sub-question,Existence Question 1 What is the nature of the framework?,4,response,No framework exists.,0.0,0.0,,,G.GOVERNANCE.DATAMANAGE.a,50975.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Management,G.GOVERNANCE.DATAMANAGE,Governance (G): Data management,Primary,G.GOVERNANCE.DATAMANAGE.a.EXISTS.1,supporting question,In the absence of a strong legal framework are there alternative norms or customs that play this role in the country? If so please explain,4,supporting,No,,,,,G.GOVERNANCE.DATAMANAGE.a.EXISTS,50975.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Management,G.GOVERNANCE.DATAMANAGE,Governance (G): Data management,Primary,G.GOVERNANCE.DATAMANAGE.a,sub-group,Existence summary:,3,summary,,,,,,G.GOVERNANCE.DATAMANAGE.a,50979,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Management,G.GOVERNANCE.DATAMANAGE,Governance (G): Data management,Primary,G.GOVERNANCE.DATAMANAGE.a.SUM_EXISTENCE,sub-question,Existence Question 4 Please summarize your answers to the preceding existence subquestions including the extent of existence,4,summary,The framework for data management in Togo does not exist.,,,,,G.GOVERNANCE.DATAMANAGE.a,50980.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING,main question,"To what extent do relevant laws, regulations, policies, and guidance provide a comprehensive framework for data sharing?",1,computed,,,,,29.0,G.GOVERNANCE.DATASHARING,50990.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.a,section,Existence,2,computed,,,,1.0,1.0,G.GOVERNANCE.DATASHARING,50991.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.a,sub-group,Exist of existence:,3,computed,,,,1,1.0,G.GOVERNANCE.DATASHARING.a,50992,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.a.EXISTS,sub-question,Existence Question 1 What is the nature of the framework?,4,response,A framework exists and has the force of law.,2.0,1.0,,,G.GOVERNANCE.DATASHARING.a,50993.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.a.EXISTS.2,supporting question,Please provide brief details,4,supporting,"The Law No. 2019-014 of October 29, 2019, on the Protection of Personal Data regulates personal data collection, processing, and sharing. Per Article 2 (1), it applies to individuals, the state, local governments, and legal entities. It has the force of law, enforced by the Instance de Protection des Données à Caractère Personnel (IPDCP). However, its scope is limited to personal data, excluding non-personal or open data.",,,,,G.GOVERNANCE.DATASHARING.a.EXISTS,50993.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.a.EXISTS.4,supporting question,Please provide a URLs for where evidence can be found,4,supporting,https://jo.gouv.tg/sites/default/files/JO/JOS_29_10_2019-64E%20ANNEE-N%C2%B026%20TER.pdf,,,,,G.GOVERNANCE.DATASHARING.a.EXISTS,50993.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.a,sub-group,Extent of existence:,3,computed,,,,1,1.0,G.GOVERNANCE.DATASHARING.a,50994,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.a.EXTENT,sub-question,Existence Question 2 How comprehensive in terms of jurisdiction is the coverage of the framework assessed for this question?,4,response,The framework provides national coverage.,2.0,1.0,,,G.GOVERNANCE.DATASHARING.a,50995.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.a.EXTENT_AGENCY,sub-question,Existence Question 3 How comprehensive in terms of parts of government is this framework?,4,response,The framework covers all or most of government.,2.0,1.0,,,G.GOVERNANCE.DATASHARING.a,50996.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.a.EXTENT_AGENCY.2,supporting question,Please provide supporting URLs as necessary,4,supporting,https://jo.gouv.tg/sites/default/files/JO/JOS_29_10_2019-64E%20ANNEE-N%C2%B026%20TER.pdf,,,,,G.GOVERNANCE.DATASHARING.a.EXTENT_AGENCY,50996.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.a,sub-group,Existence summary:,3,summary,,,,,,G.GOVERNANCE.DATASHARING.a,50997,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.a.SUM_EXISTENCE,sub-question,Existence Question 4 Please summarize your answers to the preceding existence subquestions including the extent of existence,4,summary,"There is no comprehensive framework for data sharing in Togo. While Law No. 2019-014 (1) provides some provisions related to data protection, it does not establish a dedicated or robust framework for regulating the sharing of personal data among entities such as government agencies, private organizations, or NGOs. The law falls short of covering all aspects of data sharing, and its scope is limited, leaving significant gaps in the regulation and standardization of data sharing practices across different sectors.",,,,,G.GOVERNANCE.DATASHARING.a,50998.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.a.SUM_EXISTENCE.1,supporting question,Please provide the URLs for the evidence that supports the summary provided,4,summary,https://jo.gouv.tg/sites/default/files/JO/JOS_29_10_2019-64E%20ANNEE-N%C2%B026%20TER.pdf (1),,,,,G.GOVERNANCE.DATASHARING.a.SUM_EXISTENCE,50998.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.e,section,Elements,2,computed,,,,100.0,29.0,G.GOVERNANCE.DATASHARING,50999.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.e.e1,sub-group,"Provisions for definitions, kinds, and fields:",3,computed,,,,40.0,20.0,G.GOVERNANCE.DATASHARING.e,51000,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.e.e1.GOV_INTERNAL,sub-question,Elements Question 1 The framework covers data sharing within government,4,response,Partially ,1.0,0.5,10.0,5.0,G.GOVERNANCE.DATASHARING.e.e1,51001.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.e.e1.GOV_INTERNAL.1,supporting question,Please explain your Partially response,4,supporting,The framework established by Law No. 2019-014 in Togo covers data sharing within government (only the scope of 'personal data'). The law outlines the principles and conditions under which personal data can be shared among government agencies,,,,,G.GOVERNANCE.DATASHARING.e.e1.GOV_INTERNAL,51001.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.e.e1.GOV_INTERNAL.2,supporting question,Please indicate which section of the framework refers to this issue,4,supporting,"Articles like Article 2 and Article 23 outline rules for handling data related to public safety, criminal offenses, and administrative purposes",,,,,G.GOVERNANCE.DATASHARING.e.e1.GOV_INTERNAL,51001.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Sharing,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING.e.e1.GOV_OTHERS,sub-question,Elements Question 2 The framework covers how government should share data with other sectors,4,response,Partially ,1.0,0.5,10.0,5.0,G.GOVERNANCE.DATASHARING.e.e1,51002.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
